alpha,beta,p,distance_to_best,mean,stddev
0.0,1.0,0.0,7159.35637148852,15184.73605722134,449.55193059450914
0.0,1.0,0.1,7159.35637148852,15216.316826854141,441.9505621140975
0.0,1.0,0.2,7159.35637148852,14879.928016615582,313.3988382416969
0.0,1.0,0.30000000000000004,7159.35637148852,14843.357571735643,275.4588821238879
0.0,1.0,0.4,7190.021546540851,15117.515883139997,331.7981347497106
0.0,1.0,0.5,7159.35637148852,15191.959398524077,464.3128463027895
0.0,1.0,0.6,7190.021546540851,14983.757925678341,323.21512999061315
0.0,1.0,0.7,7159.35637148852,15161.508337939129,450.7841166670188
0.0,1.0,0.7999999999999999,7238.426566493632,15334.619763259972,323.5656753271099
0.0,1.0,0.8999999999999999,7159.35637148852,15096.54237046634,362.08342600906985
0.0,2.0,0.0,2901.1451130811474,10636.432746323364,224.62991547852533
0.0,2.0,0.1,2901.1451130811474,10662.287563835474,235.86096596230985
0.0,2.0,0.2,2901.1451130811474,10765.743678451077,238.56124588017025
0.0,2.0,0.30000000000000004,2901.1451130811474,10650.095659436505,204.761548602296
0.0,2.0,0.4,2901.1451130811474,10727.903895747217,252.42715683972574
0.0,2.0,0.5,2901.1451130811474,10822.989488913885,293.69934505022866
0.0,2.0,0.6,2901.1451130811474,10702.70976686255,250.85514997939077
0.0,2.0,0.7,2901.1451130811474,10762.357383388466,282.37227732015447
0.0,2.0,0.7999999999999999,2996.90445431626,10740.643251939717,165.36436819945857
0.0,2.0,0.8999999999999999,3089.6246307764177,10740.342228944515,155.65637536480398
0.0,3.0,0.0,1535.586856065438,9108.301824574426,46.90139171808107
0.0,3.0,0.1,1459.5162125033821,9081.11267323018,96.25966716732752
0.0,3.0,0.2,1459.5162125033821,9107.711813215928,110.8329094285853
0.0,3.0,0.30000000000000004,1459.5162125033821,9047.158598640615,41.66560744287317
0.0,3.0,0.4,1535.586856065438,9116.10412464028,45.8791809991726
0.0,3.0,0.5,1535.586856065438,9116.259795512035,45.79919660020742
